"","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","SYMBOL","GENENAME"
"1","ENSG00000000003",32363.149979778,-0.644140920791624,0.160689705131231,-4.00860105048778,6.10795019992133e-05,0.000249539909588511,"7105","TSPAN6","tetraspanin 6"
"2","ENSG00000000460",23463.4428994071,-0.750695948403223,0.19806719172841,-3.79010749762422,0.000150582103043306,0.000576410847964229,"55732","FIRRM","FIGNL1 interacting regulator of recombination and mitosis"
"3","ENSG00000001036",34257.3768357413,2.85586406356966,0.144770393246438,19.7268515994719,1.26827218395867e-86,2.08927129319262e-84,"2519","FUCA2","alpha-L-fucosidase 2"
"4","ENSG00000001460",5793.40360634903,0.712944824831183,0.194013611301408,3.67471550088099,0.000238114593471294,0.000879832349321004,"90529","STPG1","sperm tail PG-rich repeat containing 1"
"5","ENSG00000001461",11061.4093600592,0.833118511648986,0.171535419010017,4.85683083095704,1.19279415458689e-06,6.28551325762214e-06,"57185","NIPAL3","NIPA like domain containing 3"
"6","ENSG00000002079",266.567464261128,2.51936676832718,0.514162262393259,4.89994492516885,9.58635240136247e-07,5.11823785702711e-06,"84176","MYH16","myosin heavy chain 16 pseudogene"
"7","ENSG00000002330",33858.3505200992,0.581447889710284,0.139771439508621,4.15999070879155,3.18260541030388e-05,0.000136044035155277,"572","BAD","BCL2 associated agonist of cell death"
"8","ENSG00000002586",1003618.45604171,-0.599500454616293,0.113164388594656,-5.29760697743567,1.17330167489071e-07,7.0497022555475e-07,"4267","CD99","CD99 molecule (Xg blood group)"
"9","ENSG00000002746",426.942462373488,2.1240090186294,0.518236625758982,4.09853127520404,4.15780063950209e-05,0.000174275694366651,"23072","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"10","ENSG00000002834",239793.779635649,1.38325665489843,0.138322725792553,10.0002125245344,1.52070349580885e-23,3.16921182451402e-22,"3927","LASP1","LIM and SH3 protein 1"
"11","ENSG00000002933",6621.48374140924,-0.973528628944058,0.200968808261033,-4.84417774762125,1.2713707961206e-06,6.67276295844151e-06,"55365","TMEM176A","transmembrane protein 176A"
"12","ENSG00000003096",26715.5190652686,-1.04488253510891,0.193997684905845,-5.38605672338842,7.2020242244833e-08,4.43974684751976e-07,"90293","KLHL13","kelch like family member 13"
"13","ENSG00000003402",88258.7689899991,1.04537900360633,0.155048309031464,6.74227929434682,1.55920986948132e-11,1.43136426606936e-10,"8837","CFLAR","CASP8 and FADD like apoptosis regulator"
"14","ENSG00000003436",184835.835047353,2.19807905801129,0.115002127211224,19.1133773897424,1.95403457635662e-81,2.93840190284967e-79,"7035","TFPI","tissue factor pathway inhibitor"
